timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768938297055,1681,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-213,text,true,,190,139,682,682,http://localhost:8080/api/v1/pautas/1090/resultado,1681,0,1
1768938296344,2398,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-748,,true,,92,234,681,681,http://localhost:8080/api/v1/pautas/1638/votos,2398,0,0
1768938297057,1686,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-217,text,true,,190,139,681,681,http://localhost:8080/api/v1/pautas/1237/resultado,1686,0,1
1768938297062,1681,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-325,text,true,,190,139,681,681,http://localhost:8080/api/v1/pautas/1324/resultado,1681,0,0
1768938297158,1585,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-335,text,true,,190,139,679,679,http://localhost:8080/api/v1/pautas/1338/resultado,1585,0,1
1768938296344,2401,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-606,,true,,92,234,678,678,http://localhost:8080/api/v1/pautas/1640/votos,2401,0,0
1768938296173,2576,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-571,,true,,92,234,678,678,http://localhost:8080/api/v1/pautas/1576/votos,2576,0,0
1768938296344,2407,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-622,,true,,92,234,678,678,http://localhost:8080/api/v1/pautas/1632/votos,2407,0,0
1768938297069,1684,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-395,text,true,,190,139,678,678,http://localhost:8080/api/v1/pautas/1293/resultado,1684,0,0
1768938297072,1685,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-320,text,true,,190,139,677,677,http://localhost:8080/api/v1/pautas/1325/resultado,1685,0,0
1768938296349,2410,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-507,,true,,92,234,676,676,http://localhost:8080/api/v1/pautas/1550/votos,2410,0,1
1768938296349,2416,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-628,,true,,92,234,676,676,http://localhost:8080/api/v1/pautas/1643/votos,2416,0,1
1768938296355,2410,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-630,,true,,92,234,676,676,http://localhost:8080/api/v1/pautas/1642/votos,2410,0,1
1768938296370,2395,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-724,,true,,92,234,676,676,http://localhost:8080/api/v1/pautas/1746/votos,2395,0,0
1768938296368,2398,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-739,,true,,92,234,676,676,http://localhost:8080/api/v1/pautas/1749/votos,2398,0,1
1768938296240,2532,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-569,,true,,92,234,676,676,http://localhost:8080/api/v1/pautas/1690/votos,2532,0,1
1768938296368,2404,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-870,,true,,92,234,676,676,http://localhost:8080/api/v1/pautas/1751/votos,2404,0,0
